,index,brand_name,model_name,price,rating,generation,number_of_cores,number_of_threads,RAM (in GB),Data_rate,hardware_type,SSD (in GB),Graphic_cards,resolution (in Pixels),touch_screen,display (in inches),OS,warranty
70,70,Infinix,Infinix INBook X2 Slim Series XL23 Laptop ,48990,,11th,4,8,16,LPDDR4X,Intel Core i7 1195G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
71,71,Infinix,Infinix INBook X2 Slim Series XL23 Laptop ,36990,,11th,4,8,16,LPDDR4X,Intel Core i5 1155G7,512.0,Intel Integrated Iris Xe, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
72,72,HP,HP 14-ep0068TU Laptop  ,47990,,13th,8,8,8,DDR4,Intel Core i3 N305,512.0,Intel UHD Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
73,73,Lenovo,Lenovo Legion 5 Pro 2023 Gaming Laptop ,172990,78.0,12th,14,20,32,DDR5,Intel Core i7 13700H,1024.0,16 GB NVIDIA GeForce RTX 4090, 2560 x 1600 ,No,16,Windows 11,1 Year Warranty
74,74,Dell,Dell Inspiron 3520 D560872WIN9S Laptop ,68601,62.0,12th,10,12,16,DDR4,Intel Core i5 1235U,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
75,75,Dell,Dell Inspiron 5430 IN54304D6P9M01ORS1 Laptop ,85820,,13th,10,12,16,LPDDR5,Intel Core i7 1355U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
76,76,Dell,Dell Inspiron 5430 IN54308TR2G001ORS1 Laptop ,76399,,13th,10,12,16,LPDDR5,Intel Core i5 1335U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
77,77,Asus,Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop ,105990,77.0,7th,8,16,16,DDR5,AMD Ryzen 7 7735HS,512.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
78,78,Asus,Asus VivoBook 14 X415EA-EK344WS Notebook ,42990,64.0,11th,2,4,16,DDR4,Intel Core i3 1115G4,512.0,Intel Integrated Intel UHD, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
79,79,Acer,Acer Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop ,149990,76.0,13th,16,24,16,DDR5,Intel Core i7 13700HX,1024.0,8 GB NVIDIA GeForce RTX 4060, 2560 x 600 ,No,16,Windows 11,1 Year Warranty
80,80,HP,HP 15s-fy5003TU Laptop ,40990,,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
81,81,HP,HP Victus 15-fb0122AX Gaming Laptop ,55490,67.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
82,82,HP,HP 15-fd0011TU Laptop ,59990,,13th,10,12,8,DDR4,Intel Core i5 1335U,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
83,83,Asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop ,159990,88.0,13th,14,20,16,DDR5,Intel Core i9 13900H,1024.0,6 GB NVIDIA GeForce RTX 4050, 3200 x 2000 ,No,16,Windows 11,1 Year Warranty
84,84,Acer,Acer Predator Helios Neo 16 PHN16-71 Laptop ,124990,75.0,13th,16,24,16,DDR5,Intel Core i7 13700HX,512.0,6 GB NVIDIA GeForce RTX 4050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
85,85,HP,HP 15s-fq2738TU Laptop ,38999,,11th,2,4,8,DDR4,Intel Core i3 1115G4,512.0,Intel Integrated UHD Graphics, 1366 x 768 ,No,15.6,Windows 11,1 Year Warranty
86,86,MSI,MSI Thin GF63 11SC-1400IN Gaming Laptop ,53990,66.0,11th,6,12,16,DDR4,Intel Core i5 11400H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,2 Year Warranty
87,87,MSI,MSI GF63 Thin 11SC-1299IN Gaming Laptop ,52990,71.0,11th,6,12,8,DDR4,Intel Core i5 11400H,1024.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,
88,88,Asus,Asus Vivobook 15 2023 X1504VA-NJ324WS Laptop ,45990,,13th,6,8,8,DDR4,Intel Core i3 1315U,512.0, Integrated Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
89,89,Lenovo,Lenovo V15 82QYA00MIN Laptop ,23399,,,2,2,8,DDR4,,256.0,Intel Integrated Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
90,90,Lenovo,Lenovo ThinkBook 15 G3 21A4A08WIH Laptop ,32990,,5th,4,8,8,DDR4,AMD Ryzen 3 5300U,512.0,AMD Radeon AMD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
91,91,Lenovo,Lenovo Thinkpad E15 21E6S05A00 Laptop ,45990,66.0,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
92,92,Asus,Asus Vivobook Pro 15 M6500QC-HN542WS Laptop ,65990,68.0,5th,6,12,16,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
93,93,Samsung,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop ,84990,60.0,13th,10,12,16,LPDDR4x,Intel Core i7 1355U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
94,94,Infinix,Infinix INBook Y1 Plus Laptop ,27990,,10th,2,4,8,LPDDR4X,Intel Core i3 1005G1,256.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
95,95,HP,HP Victus 15-fb0137AX Gaming Laptop ,77990,67.0,5th,8,16,16,DDR4,AMD Ryzen 7 5800H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
96,96,Samsung,Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop ,109990,66.0,13th,10,12,16,LPDDR4x,Intel Core i7 1355U,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,Yes,13.3,Windows 11,1 Year Warranty
97,97,Samsung,Samsung Galaxy Book 3 Ultra Laptop ,229900,78.0,13th,14,20,32,LPDDR5,Intel Core i9 13900H,512.0,NVIDIA GeForce RTX 4070, 2880 x 1800 ,No,16,Windows 11,1 Year Warranty
98,98,Lenovo,Lenovo V15 ‎82C70005UK Laptop ,38490,61.0,5th,6,12,8,DDR4,AMD Ryzen 5 5500U,512.0,AMD Radeon Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
99,99,HP,HP 245 G8 689T3PA Laptop ,29490,,3rd,2,4,8,DDR4,AMD Ryzen 3 3250U,512.0,AMD Radeon Graphics, 1366 x 768 ,No,14,Windows 11,1 Year Warranty
100,100,HP,HP Pavilion 15-eg2091TU Laptop ,68800,62.0,12th,12,16,16,DDR4,Intel Core i5 1240P,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
101,101,Apple,Apple MacBook Pro 16 inch Laptop ,322490,65.0,,12,,32,,,1024.0,38-core GPU, 3456 x 2234 ,No,16.2,Mac,1 Year Warranty
102,102,Lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop ,58900,71.0,11th,4,8,8,DDR4,Intel Core i5 11300H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
103,103,Honor,Honor MagicBook X14 Laptop ,46729,61.0,11th,4,8,8,DDR4,Intel Core i5 1135G7,512.0,‎Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
104,104,Asus,Asus Vivobook Pro 16 K6602HC-N1902WS Gaming Laptop ,89990,75.0,11th,8,16,16,DDR4,Intel Core i9 11900H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
105,105,Dell,Dell Latitude 3430 Laptop ,108000,65.0,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel Iris Xe Graphics, 1366 x 768 ,No,14,Windows 11,1 Year Warranty
106,106,Dell,Dell Inspiron 3520 D560871WIN9B Laptop ,55753,,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
107,107,Asus,Asus TUF F15 FA507RE-HN043WS 2022 Gaming Laptop ,84990,76.0,6th,8,16,16,DDR5,AMD Ryzen 7 6800H,1024.0,4 GB NVIDIA GeForce RTX 3050 Ti, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
108,108,Asus,Asus Chromebook Flip C214MA-BU0704 Laptop ,16990,,,2,2,4,LPDDR4X,,32.0,Intel Integrated UHD 600, 1366 x 768 ,No,11.6,Chrome,1 Year Warranty
109,109,Acer,Acer One 14 Z2-493 Laptop ,26990,,3rd,2,4,8,DDR4,AMD Ryzen 3  3250U,256.0,AMD Radeon Graphics, 1366 x 768 ,No,14,Windows 11,1 Year Warranty
